sample,Control_115,Control_130,Control_132,Control_133,Control_136,Control_53,Control_61,Control_62,Control_64,Control_68,Control_69,Control_70,Control_71,Control_72,Control_73,CKD_105,CKD_106,CKD_108,CKD_110,CKD_112,CKD_124,CKD_125,CKD_126,CKD_128,CKD_129,CKD_63,CKD_65,CKD_96,CKD_98,CKD_99
class,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD,CKD
150.055/8.6,811651.9847,1057393.903,906673.1763,1912946.525,1169054.973,3453008.541,2637409.911,3525693.626,1237440.077,1343783.767,1363891.155,2163991.288,1399234.506,1203300.551,1351475.91,1047834.479,7574411.623,3713565.12,2114792.442,3686340.304,3964982.599,1467778.993,4015578.268,1329950.453,5727141.399,3273241.518,677481.6928,2764948.814,5568917.291,4972122.543
197.129/7.7,695028.7323,1563075.178,2031299.211,2805322.955,1073501.428,4550293.39,1631498.594,2471288.104,937385.1485,1289088.051,1213509.004,7049767.833,1384438.991,1332911.598,859155.7869,2799676.987,6734862.879,8215752.221,7746328.204,1830270.005,3992907.942,1510650.59,9454829.851,1716618.598,3318934.809,7651114.1,1258003.058,2459177.269,5577902.339,5965455.059
175.102/2.5,78664.96275,1417861.141,1067283.734,822142.8185,420828.4085,1043735.929,2682263.18,1063813.689,374555.7973,706432.2006,1969108.688,827691.4494,1127112.58,626219.4831,985401.3789,1389053.968,3704264.156,2520517.598,2075542.115,971981.2449,1409403.695,1007389.354,2509404.893,2022963.404,2748583.959,1133404.918,633143.8337,1931679.707,3429257.181,1140112.797
296.971/2.1,833212.8082,1380254.719,492538.1445,1772237.245,681078.1977,289700.3266,2076584.615,290170.1762,1326823.303,325829.1067,717597.7831,256957.5511,622164.7698,531484.0098,519100.8085,154289.1669,283446.5619,304272.6638,101220.9696,54957.4343,1627260.831,68790.55524,103848.6728,73641.08051,226005.4955,126233.9711,369697.1676,267153.4958,115901.9739,61336.80484
231.994/3.1,281183.0116,1329222.315,356702.721,1934607.923,921614.5984,960445.0832,3803224.113,431698.0069,336906.6247,784829.3837,2033054.298,932728.7894,2544636.331,433323.3812,1505599.215,182924.0235,281291.15,175649.5622,733180.9066,238692.5836,1260647.786,494717.2706,190923.436,800781.4565,277557.7975,289964.2142,128491.8985,111828.3716,180174.6826,365180.6402
330.112/10.3,6580.999762,13606.47009,78381.4178,10000,22995.14444,1268861.57,16624.14027,13521.6682,10000,10000,540003.8473,630429.5363,10623.34142,18690.85672,10000,9924.727534,41837.79778,2478469.534,1697811.122,156136.9218,1707333.888,15177.3773,874820.4039,167833.4104,25832.56405,1656070.152,1283946.798,493059.5281,1869747.211,1176968.64
457.489/10.2,5675.657024,7995.564587,10000,10000,131727.7752,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,509672.4992,205731.6625,22840.8224,326802.803,1270647.153,2101681.638,770208.1244,4788242.252,858184.2038,1176953.549,10000,419095.6582,976243.0823,554340.9587,1076926.665
457.74/10.1,10000,8335.416025,10000,10000,137464.0675,4871.030189,10000,10000,10000,5568.192798,10000,10000,10000,10000,10000,471583.0019,91541.81725,44750.36171,286116.8895,1186428.051,2227431.417,799394.4418,4667525.557,844537.3942,1122583.434,10000,453320.6672,1106073.309,510856.448,1085755.743
343.114/8.7,1656138.747,841438.2968,299908.5615,2200062.158,617079.9696,5809833.333,3876722.6,6741684.785,722363.8061,3329406.195,2933916.488,2342376.659,1988110.96,1883044.267,1115808.04,1737625.138,13556917.12,3265392.719,2811789.72,7797938.107,11279906.88,2398645.055,5072415.242,2936701.18,8725467.02,5988943.266,16451.12587,3637874.616,13226986.86,10681035.47
264.163/16.2,16868.65349,124043.0477,149998.3249,468478.5076,52381.94488,388360.4668,267009.6483,286384.4137,116887.3793,240427.9392,345605.7765,114969.163,233961.9385,184209.0872,149427.1268,178594.0779,1065822.321,504095.699,697077.5616,187203.8866,536108.1059,142448.2431,424100.2307,333683.7986,528592.9244,488271.6946,228374.7179,1030552.722,1361564.351,138477.9263
